[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Factory configuration, Owner=User-1, Creation date=11/23/2015 10:41:36 AM"
Comment - 2,"Goniometer=HR HD (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD Cradle; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-3"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Amanda\rsm change.xrdmp, Identifier={325043B9-92F6-4A52-B686-2113B0982AAC}"
Comment - 6,"Batch program=C:\PANalytical\Data Collector\Programs\Amanda\20amanda719.xrdmp, Identifier={3C923312-5690-4D6B-9821-0F7CD46A6E31}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Receiving slit,0.38
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,19/Jul/2020 20:22
Unit cell,
h k l, 0 0 0
No. of scans, 401
Measurement step axis,Omega
Measurement step axis range,-0.7858,3.2142,0.0100
Scan axis,2Theta
Scan range,0.68200000,3.69539988,0.0196954
No. of points per scan, 153
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,-1.47
Y,-24.45
Z,7.075
Time per step,116.79
[Scan points]
2Theta position, Omega position, Intensity
0.69184771,-0.7858,2237
0.71154313,-0.7858,2014
0.73123856,-0.7858,1806
0.75093398,-0.7858,1589
0.77062941,-0.7858,1398
0.79032483,-0.7858,1181
0.81002025,-0.7858,1014
0.82971568,-0.7858,960
0.84941110,-0.7858,871
0.86910653,-0.7858,840
0.88880195,-0.7858,813
0.90849737,-0.7858,838
0.92819280,-0.7858,787
0.94788822,-0.7858,752
0.96758365,-0.7858,760
0.98727907,-0.7858,760
1.00697450,-0.7858,769
1.02666992,-0.7858,658
1.04636534,-0.7858,672
1.06606077,-0.7858,705
1.08575619,-0.7858,667
1.10545162,-0.7858,678
1.12514704,-0.7858,619
1.14484246,-0.7858,613
1.16453789,-0.7858,625
1.18423331,-0.7858,577
1.20392874,-0.7858,581
1.22362416,-0.7858,575
1.24331958,-0.7858,559
1.26301501,-0.7858,558
1.28271043,-0.7858,552
1.30240586,-0.7858,434
1.32210128,-0.7858,370
1.34179670,-0.7858,333
1.36149213,-0.7858,302
1.38118755,-0.7858,258
1.40088298,-0.7858,196
1.42057840,-0.7858,181
1.44027382,-0.7858,121
1.45996925,-0.7858,99
1.47966467,-0.7858,60
1.49936010,-0.7858,45
1.51905552,-0.7858,67
1.53875095,-0.7858,67
1.55844637,-0.7858,48
1.57814179,-0.7858,60
1.59783722,-0.7858,49
1.61753264,-0.7858,40
1.63722807,-0.7858,64
1.65692349,-0.7858,54
1.67661891,-0.7858,62
1.69631434,-0.7858,52
1.71600976,-0.7858,40
1.73570519,-0.7858,48
1.75540061,-0.7858,57
1.77509603,-0.7858,48
1.79479146,-0.7858,58
1.81448688,-0.7858,45
1.83418231,-0.7858,40
1.85387773,-0.7858,43
1.87357315,-0.7858,48
1.89326858,-0.7858,47
1.91296400,-0.7858,45
1.93265943,-0.7858,52
1.95235485,-0.7858,49
1.97205028,-0.7858,54
1.99174570,-0.7858,35
2.01144112,-0.7858,35
2.03113655,-0.7858,40
2.05083197,-0.7858,47
2.07052740,-0.7858,42
2.09022282,-0.7858,44
2.10991824,-0.7858,27
2.12961367,-0.7858,41
2.14930909,-0.7858,47
2.16900452,-0.7858,39
2.18869994,-0.7858,43
2.20839536,-0.7858,45
2.22809079,-0.7858,45
2.24778621,-0.7858,41
2.26748164,-0.7858,44
2.28717706,-0.7858,40
2.30687248,-0.7858,41
2.32656791,-0.7858,46
2.34626333,-0.7858,43
2.36595876,-0.7858,37
2.38565418,-0.7858,34
2.40534960,-0.7858,41
2.42504503,-0.7858,51
2.44474045,-0.7858,26
2.46443588,-0.7858,44
2.48413130,-0.7858,41
2.50382673,-0.7858,30
2.52352215,-0.7858,40
2.54321757,-0.7858,45
2.56291300,-0.7858,42
2.58260842,-0.7858,44
2.60230385,-0.7858,44
2.62199927,-0.7858,49
2.64169469,-0.7858,46
2.66139012,-0.7858,61
2.68108554,-0.7858,53
2.70078097,-0.7858,54
2.72047639,-0.7858,65
2.74017181,-0.7858,76
2.75986724,-0.7858,52
2.77956266,-0.7858,79
2.79925809,-0.7858,97
2.81895351,-0.7858,85
2.83864893,-0.7858,92
2.85834436,-0.7858,78
2.87803978,-0.7858,100
2.89773521,-0.7858,87
2.91743063,-0.7858,109
2.93712605,-0.7858,90
2.95682148,-0.7858,99
2.97651690,-0.7858,98
2.99621233,-0.7858,87
3.01590775,-0.7858,72
3.03560318,-0.7858,69
3.05529860,-0.7858,66
3.07499402,-0.7858,80
3.09468945,-0.7858,65
3.11438487,-0.7858,59
3.13408030,-0.7858,64
3.15377572,-0.7858,65
3.17347114,-0.7858,60
3.19316657,-0.7858,52
3.21286199,-0.7858,50
3.23255742,-0.7858,57
3.25225284,-0.7858,74
3.27194826,-0.7858,64
3.29164369,-0.7858,78
3.31133911,-0.7858,80
3.33103454,-0.7858,82
3.35072996,-0.7858,94
3.37042538,-0.7858,80
3.39012081,-0.7858,98
3.40981623,-0.7858,110
3.42951166,-0.7858,81
3.44920708,-0.7858,85
3.46890251,-0.7858,102
3.48859793,-0.7858,94
3.50829335,-0.7858,93
